2000000
learning_rate, discount_factor, exploration_prob, wins, looses
0.8, 0.7, 0.1, 9949, 51
0.8, 0.7, 0.15, 9953, 47
0.8, 0.7, 0.2, 9938, 62
0.8, 0.7, 0.3, 9940, 60
0.8, 0.8, 0.1, 9951, 49
0.8, 0.8, 0.15, 9952, 48
0.8, 0.8, 0.2, 9954, 46
0.8, 0.8, 0.3, 9941, 59
0.8, 0.9, 0.1, 9955, 45
0.8, 0.9, 0.15, 9943, 57
0.8, 0.9, 0.2, 9950, 50
0.8, 0.9, 0.3, 9936, 64
0.8, 0.95, 0.1, 9955, 45
0.8, 0.95, 0.15, 9957, 43
0.8, 0.95, 0.2, 9942, 58
0.8, 0.95, 0.3, 9924, 76
0.9, 0.7, 0.1, 9953, 47
0.9, 0.7, 0.15, 9951, 49
0.9, 0.7, 0.2, 9940, 60
0.9, 0.7, 0.3, 9942, 58
0.9, 0.8, 0.1, 9953, 47
0.9, 0.8, 0.15, 9949, 51
0.9, 0.8, 0.2, 9959, 41
0.9, 0.8, 0.3, 9929, 71
0.9, 0.9, 0.1, 9943, 57
0.9, 0.9, 0.15, 9946, 54
0.9, 0.9, 0.2, 9949, 51
0.9, 0.9, 0.3, 9925, 75
0.9, 0.95, 0.1, 9952, 48
0.9, 0.95, 0.15, 9946, 54
0.9, 0.95, 0.2, 9932, 68
0.9, 0.95, 0.3, 9931, 69
21819.890483140945

Process finished with exit code 0

learning_rate, discount_factor, exploration_prob, wins, looses
0.8, 0.7, 0.1, 99602, 398
0.8, 0.7, 0.1, 99573, 427
0.8, 0.7, 0.1, 99568, 432
0.8, 0.7, 0.15, 99558, 442
0.8, 0.7, 0.15, 99574, 426
0.8, 0.7, 0.15, 99579, 421
0.8, 0.7, 0.2, 99554, 446
0.8, 0.7, 0.2, 99578, 422
0.8, 0.7, 0.2, 99593, 407
0.8, 0.7, 0.3, 99576, 424
0.8, 0.7, 0.3, 99557, 443
0.8, 0.7, 0.3, 99575, 425
0.8, 0.8, 0.1, 99563, 437
0.8, 0.8, 0.1, 99559, 441
0.8, 0.8, 0.1, 99550, 450
0.8, 0.8, 0.15, 99581, 419
0.8, 0.8, 0.15, 99567, 433
0.8, 0.8, 0.15, 99575, 425
0.8, 0.8, 0.2, 99537, 463
0.8, 0.8, 0.2, 99591, 409
0.8, 0.8, 0.2, 99610, 390
0.8, 0.8, 0.3, 99514, 486
0.8, 0.8, 0.3, 99597, 403
0.8, 0.8, 0.3, 99552, 448
0.8, 0.9, 0.1, 99554, 446
0.8, 0.9, 0.1, 99587, 413
0.8, 0.9, 0.1, 99559, 441
0.8, 0.9, 0.15, 99563, 437
0.8, 0.9, 0.15, 99556, 444
0.8, 0.9, 0.15, 99559, 441
0.8, 0.9, 0.2, 99547, 453
0.8, 0.9, 0.2, 99577, 423
0.8, 0.9, 0.2, 99547, 453
0.8, 0.9, 0.3, 99533, 467
0.8, 0.9, 0.3, 99610, 390
0.8, 0.9, 0.3, 99578, 422
0.8, 0.95, 0.1, 99580, 420
0.8, 0.95, 0.1, 99579, 421
0.8, 0.95, 0.1, 99584, 416
0.8, 0.95, 0.15, 99554, 446
0.8, 0.95, 0.15, 99588, 412
0.8, 0.95, 0.15, 99598, 402
0.8, 0.95, 0.2, 99534, 466
0.8, 0.95, 0.2, 99570, 430
0.8, 0.95, 0.2, 99584, 416
0.8, 0.95, 0.3, 99553, 447
0.8, 0.95, 0.3, 99585, 415
0.8, 0.95, 0.3, 99559, 441
0.9, 0.7, 0.1, 99532, 468
0.9, 0.7, 0.1, 99572, 428
0.9, 0.7, 0.1, 99595, 405
0.9, 0.7, 0.15, 99551, 449
0.9, 0.7, 0.15, 99578, 422
0.9, 0.7, 0.15, 99597, 403
0.9, 0.7, 0.2, 99549, 451
0.9, 0.7, 0.2, 99556, 444
0.9, 0.7, 0.2, 99574, 426
0.9, 0.7, 0.3, 99524, 476
0.9, 0.7, 0.3, 99569, 431
0.9, 0.7, 0.3, 99566, 434
0.9, 0.8, 0.1, 99552, 448
0.9, 0.8, 0.1, 99585, 415
0.9, 0.8, 0.1, 99572, 428
0.9, 0.8, 0.15, 99533, 467
0.9, 0.8, 0.15, 99576, 424
0.9, 0.8, 0.15, 99574, 426
0.9, 0.8, 0.2, 99589, 411
0.9, 0.8, 0.2, 99560, 440
0.9, 0.8, 0.2, 99571, 429
0.9, 0.8, 0.3, 99525, 475
0.9, 0.8, 0.3, 99550, 450
0.9, 0.8, 0.3, 99583, 417
0.9, 0.9, 0.1, 99577, 423
0.9, 0.9, 0.1, 99562, 438
0.9, 0.9, 0.1, 99576, 424
0.9, 0.9, 0.15, 99515, 485
0.9, 0.9, 0.15, 99563, 437
0.9, 0.9, 0.15, 99607, 393
0.9, 0.9, 0.2, 99557, 443
0.9, 0.9, 0.2, 99563, 437
0.9, 0.9, 0.2, 99556, 444
0.9, 0.9, 0.3, 99558, 442
0.9, 0.9, 0.3, 99588, 412
0.9, 0.9, 0.3, 99577, 423
0.9, 0.95, 0.1, 99580, 420
0.9, 0.95, 0.1, 99561, 439
0.9, 0.95, 0.1, 99534, 466
0.9, 0.95, 0.15, 99513, 487
0.9, 0.95, 0.15, 99613, 387
0.9, 0.95, 0.15, 99591, 409
0.9, 0.95, 0.2, 99527, 473
0.9, 0.95, 0.2, 99539, 461
0.9, 0.95, 0.2, 99584, 416
0.9, 0.95, 0.3, 99520, 480
0.9, 0.95, 0.3, 99578, 422
0.9, 0.95, 0.3, 99572, 428

Process finished with exit code 0


