id,name,station,dateTime,cancelled,direction,delay,platform
2|#VN#1#ST#1730325184#PI#0#ZI#409307#TA#0#DA#311024#1S#8003447#1T#2338#LS#8002041#LT#10012#PU#80#RT#1#CA#s#ZE#4#ZB#S      4#PC#4#FR#8003447#FT#2338#TO#8002041#TT#10012#,S 4,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:02:00+01:00,False,Frankfurt(Main)Süd,0 days 00:01:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#410390#TA#0#DA#311024#1S#8000150#1T#2331#LS#8000250#LT#10049#PU#80#RT#1#CA#s#ZE#9#ZB#S      9#PC#4#FR#8000150#FT#2331#TO#8000250#TT#10049#,S 9,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:02:00+01:00,False,Wiesbaden Hbf,0 days 00:01:00,103
2|#VN#1#ST#1730325184#PI#0#ZI#409574#TA#0#DA#311024#1S#8002041#1T#2353#LS#8000111#LT#10055#PU#80#RT#1#CA#s#ZE#6#ZB#S      6#PC#4#FR#8002041#FT#2353#TO#8000111#TT#10055#,S 6,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:04:00+01:00,False,Friedberg(Hess),0 days 00:02:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#409419#TA#0#DA#311024#1S#8002108#1T#2338#LS#8002041#LT#10017#PU#80#RT#1#CA#s#ZE#5#ZB#S      5#PC#4#FR#8002108#FT#2338#TO#8002041#TT#10017#,S 5,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:07:00+01:00,False,Frankfurt(Main)Süd,0 days 00:02:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#409061#TA#0#DA#311024#1S#8004400#1T#2333#LS#8001456#LT#10041#PU#80#RT#1#CA#s#ZE#2#ZB#S      2#PC#4#FR#8004400#FT#2333#TO#8001456#TT#10041#,S 2,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:09:00+01:00,False,Dietzenbach Bahnhof,0 days 00:02:00,102
2|#VN#1#ST#1730325184#PI#0#ZI#408869#TA#0#DA#311024#1S#8000285#1T#2328#LS#8000106#LT#10022#PU#80#RT#1#CA#s#ZE#1#ZB#S      1#PC#4#FR#8000285#FT#2328#TO#8000106#TT#10022#,S 1,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:12:00+01:00,False,Frankfurt-Höchst,0 days 00:00:00,103
2|#VN#1#ST#1730325184#PI#0#ZI#325055#TA#0#DA#311024#1S#8011102#1T#1916#LS#8000250#LT#10058#PU#80#RT#1#CA#ICE#ZE#675#ZB#ICE  675#PC#0#FR#8011102#FT#1916#TO#8000250#TT#10058#,ICE 675,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 00:13:00+01:00,False,Wiesbaden Hbf,0 days 00:00:00,8
2|#VN#1#ST#1730325184#PI#0#ZI#409566#TA#0#DA#311024#1S#8000111#1T#2320#LS#8002041#LT#10023#PU#80#RT#1#CA#s#ZE#6#ZB#S      6#PC#4#FR#8000111#FT#2320#TO#8002041#TT#10023#,S 6,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:13:00+01:00,False,Frankfurt(Main)Süd,0 days 00:02:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#409185#TA#0#DA#311024#1S#8000068#1T#2335#LS#8000752#LT#10039#PU#80#RT#1#CA#s#ZE#3#ZB#S      3#PC#4#FR#8000068#FT#2335#TO#8000752#TT#10039#,S 3,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:14:00+01:00,False,Bad Soden(Taunus),0 days 00:03:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#409976#TA#0#DA#311024#1S#8000250#1T#2318#LS#8004645#LT#10032#PU#80#RT#1#CA#s#ZE#8#ZB#S      8#PC#4#FR#8000250#FT#2318#TO#8004645#TT#10032#,S 8,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 00:14:00+01:00,False,Offenbach(Main)Ost,0 days 00:02:00,102
