/home/marvin/PycharmProjects/ml-rps/.venv/bin/python /home/marvin/PycharmProjects/ml-rps/rps_v3/test4.py 
2000000
learning_rate, discount_factor, exploration_prob, wins, looses
0.8, 0.7, 0.1, 9949, 51
0.8, 0.7, 0.15, 9953, 47
0.8, 0.7, 0.2, 9938, 62
0.8, 0.7, 0.3, 9940, 60
0.8, 0.8, 0.1, 9951, 49
0.8, 0.8, 0.15, 9952, 48
0.8, 0.8, 0.2, 9954, 46
0.8, 0.8, 0.3, 9941, 59
0.8, 0.9, 0.1, 9955, 45
0.8, 0.9, 0.15, 9943, 57
0.8, 0.9, 0.2, 9950, 50
0.8, 0.9, 0.3, 9936, 64
0.8, 0.95, 0.1, 9955, 45
0.8, 0.95, 0.15, 9957, 43
0.8, 0.95, 0.2, 9942, 58
0.8, 0.95, 0.3, 9924, 76
0.9, 0.7, 0.1, 9953, 47
0.9, 0.7, 0.15, 9951, 49
0.9, 0.7, 0.2, 9940, 60
0.9, 0.7, 0.3, 9942, 58
0.9, 0.8, 0.1, 9953, 47
0.9, 0.8, 0.15, 9949, 51
0.9, 0.8, 0.2, 9959, 41
0.9, 0.8, 0.3, 9929, 71
0.9, 0.9, 0.1, 9943, 57
0.9, 0.9, 0.15, 9946, 54
0.9, 0.9, 0.2, 9949, 51
0.9, 0.9, 0.3, 9925, 75
0.9, 0.95, 0.1, 9952, 48
0.9, 0.95, 0.15, 9946, 54
0.9, 0.95, 0.2, 9932, 68
0.9, 0.95, 0.3, 9931, 69
21819.890483140945

Process finished with exit code 0

